State,County Name,Population
KY,Harlan County,25566
KY,Harrison County,18920
KY,Hart County,19013
KY,Henderson County,44740
KY,Henry County,16067
KY,Hickman County,4364
KY,Hopkins County,44662
KY,Jackson County,13340
KY,Jefferson County,767452
KY,Jessamine County,54057
KY,Johnson County,22002
KY,Kenton County,167949
KY,Knott County,14512
KY,Knox County,31022
KY,Larue County,14431
KY,Laurel County,61238
KY,Lawrence County,15436
KY,Lee County,7268
KY,Leslie County,9637
KY,Letcher County,21213
KY,Lewis County,13262
KY,Lincoln County,24466
KY,Livingston County,9041
KY,Logan County,27416
KY,Lyon County,8133
KY,Madison County,94265
KY,Magoffin County,12017
KY,Marion County,19314
KY,Marshall County,31163
KY,Martin County,11031
KY,Mason County,17035
KY,McCracken County,65644
KY,McCreary County,17071
KY,McLean County,9075
KY,Meade County,28616
KY,Menifee County,6502
KY,Mercer County,21889
KY,Metcalfe County,10058
KY,Monroe County,10549
KY,Montgomery County,28186
KY,Morgan County,13142
KY,Muhlenberg County,30457
KY,Nelson County,46450
KY,Nicholas County,7234
KY,Ohio County,23899
KY,Oldham County,66999
KY,Owen County,11017
KY,Owsley County,4331
KY,Pendleton County,14586
KY,Perry County,25456
KY,Pike County,57057
KY,Powell County,12218
KY,Pulaski County,65530
KY,Robertson County,2136
KY,Rockcastle County,16750
KY,Rowan County,24682
KY,Russell County,17998
KY,Scott County,58470
KY,Shelby County,49611
KY,Simpson County,18635
KY,Spencer County,19585
KY,Taylor County,25707
KY,Todd County,12448
KY,Trigg County,14776
KY,Trimble County,8481
KY,Union County,14443
KY,WA County,12147
KY,Warren County,134510
KY,Wayne County,20209
KY,Webster County,12923
KY,Whitley County,36451
KY,Wolfe County,7106
KY,Woodford County,26765
LA,Acadia Parish,61918
LA,Allen Parish,25440
LA,Ascension Parish,128665
LA,Assumption Parish,21621
LA,Avoyelles Parish,39966
LA,Beauregard Parish,37881
LA,Bienville Parish,12983
LA,Bossier Parish,127275
LA,Caddo Parish,237479
LA,Calcasieu Parish,203310
LA,Caldwell Parish,9839
LA,Cameron Parish,7003
LA,Catahoula Parish,9226
LA,Claiborne Parish,15508
LA,Concordia Parish,18914
LA,De Soto Parish,27650
LA,East Baton Rouge Parish,439729
LA,East Carroll Parish,6589
LA,East Feliciana Parish,18882
LA,Evangeline Parish,33276
LA,Franklin Parish,19723
LA,Grant Parish,22254
LA,Iberia Parish,68991
LA,Iberville Parish,32070
LA,Jackson Parish,15574
LA,Jefferson Davis Parish,31208
LA,Jefferson Parish,432346
LA,Lafayette Parish,246518
